@relation news_aggregator

@attribute Pendidikan numeric
@attribute Politik numeric
@attribute HukumdanKriminal numeric
@attribute SosialBudaya numeric
@attribute Olahraga numeric
@attribute TeknologidanSains numeric
@attribute Hiburan numeric
@attribute BisnisdanEkonomi numeric
@attribute Kesehatan numeric
@attribute BencanadanKecelakaan numeric
@attribute label {Pendidikan, Politik, HukumdanKriminal, SosialBudaya, Olahraga, TeknologidanSains, Hiburan, BisnisdanEkonomi, Kesehatan, BencanadanKecelakaan}

@data
11,3,11,5,1,1,2,10,0,0,Pendidikan
13,6,9,3,0,1,2,4,1,3,Pendidikan
12,8,10,5,0,1,2,5,1,0,Pendidikan
6,4,15,5,0,0,3,7,0,0,Pendidikan
15,4,8,4,0,1,2,5,1,0,Pendidikan
10,7,10,3,0,1,3,4,0,0,Pendidikan
7,9,13,2,1,4,2,5,0,1,Pendidikan
10,1,9,1,1,0,0,3,0,3,Pendidikan
0,2,5,1,0,0,1,3,2,10,Pendidikan
6,4,8,3,1,1,1,5,0,1,Pendidikan
6,8,10,1,0,1,2,2,0,0,Pendidikan
8,3,11,2,0,0,3,2,0,2,Pendidikan
11,3,11,5,0,1,2,4,0,1,Pendidikan
19,7,17,4,0,4,5,4,2,4,Pendidikan
9,3,11,2,0,1,3,1,0,4,Pendidikan
13,1,9,2,0,0,1,2,0,4,Pendidikan
6,3,16,3,1,2,2,9,1,3,Pendidikan
10,3,4,2,1,1,1,0,1,1,Pendidikan
10,1,7,2,0,0,1,3,0,0,Pendidikan
12,4,17,2,0,2,1,1,0,3,Pendidikan
13,3,12,2,0,0,2,0,0,2,Pendidikan
9,3,8,1,0,0,1,1,0,2,Pendidikan
9,4,10,0,0,1,2,4,1,2,Pendidikan
13,4,12,4,0,0,1,1,0,1,Pendidikan
6,3,10,3,0,1,0,1,1,1,Pendidikan
10,3,17,3,0,0,0,0,1,4,Pendidikan
9,3,5,2,0,1,0,1,1,2,Pendidikan
15,2,9,2,0,0,2,2,0,1,Pendidikan
11,4,11,1,0,0,2,3,1,0,Pendidikan
7,1,7,1,1,0,2,0,0,4,Pendidikan
8,7,12,2,0,1,1,6,0,1,Pendidikan
9,2,7,0,0,0,1,0,1,0,Pendidikan
5,2,5,0,0,0,2,0,0,1,Pendidikan
8,8,12,3,1,1,2,6,0,0,Pendidikan
